"Código do IBGE";"Código do Município";"Município";"Estado";"Ano de Referência";"Prestadores";"Serviços";"Natureza Jurídica";"POP_TOT - População total do município (Fonte: IBGE):";"POP_URB - População urbana do município (Fonte: IBGE)";"AG001 - População total atendida com abastecimento de água";"ES001 - População total atendida com esgotamento sanitário";"CO014 - População urbana atendida com serviço de coleta de RDO";"IN015_AE - Índice de coleta de esgoto";"IN016_AE - Índice de tratamento de esgoto";"IN024_AE - Índice de atendimento urbano de esgoto referido aos municípios atendidos com água"
2405801;240580;João Câmara;RN;2020;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;35.160;24.719;32.261;12.457;;41,21;100,00;50,39;
2405801;240580;João Câmara;RN;2019;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;34.955;24.575;31.403;12.317;;40,85;100,00;48,61;
;240580;João Câmara;RN;2018;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;34.747;24.429;34.743;11.633;;35,40;100,00;47,62;
;240580;João Câmara;RN;2017;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;35.087;24.668;28.095;9.581;;29,57;100,00;37,70;
;240580;João Câmara;RN;2016;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;34.839;24.493;27.803;9.359;;28,28;100,00;38,21;
;240580;João Câmara;RN;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;34.585;24.315;25.385;9.237;;27,78;100,00;37,99;
;240580;João Câmara;RN;2014;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;34.324;24.131;26.510;8.839;;26,66;100,00;36,63;
;240580;João Câmara;RN;2013;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;34.057;23.944;25.747;7.740;;22,22;100,00;32,33;
;240580;João Câmara;RN;2012;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;32.677;22.973;24.684;6.198;;18,45;100,00;26,98;
;240580;João Câmara;RN;2011;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água e Esgoto | Res. Sólidos;;32.456;22.818;22.946;4.113;;7,11;100,00;18,03;
